Stock No.,Product Name,Category,Qty.,Volume Points,MRP,Retail Price,*Earn Base,Associates - 25%,Senior Consultant - 35%,Qualified Producer/ Success Builder - 42%,Supervisor - 50%
1247,Formula 1- Nutritional Shake Mix - Vanilla- 500 gms,WEIGHT MANAGEMENT PRODUCTS,(1),21.75,1996,1691,1438,1571,1401,1283,1147
1248,Formula 1 - Nutritional Shake Mix -Chocolate-500 gms,WEIGHT MANAGEMENT PRODUCTS,(1),21.75,1996,1691,1438,1571,1401,1283,1147
1249,Formula 1- Nutritional Shake Mix - Mango-500 gms,WEIGHT MANAGEMENT PRODUCTS,(1),21.75,1996,1691,1438,1571,1401,1283,1147
1269,Formula 1- Nutritional Shake Mix - Orange Cream -500 gms,WEIGHT MANAGEMENT PRODUCTS,(1),21.75,1996,1691,1438,1571,1401,1283,1147
1239,Formula 1- Nutritional Shake Mix - Strawberry- 500 Gms,WEIGHT MANAGEMENT PRODUCTS,(1),21.75,1996,1691,1438,1571,1401,1283,1147
4114,Formula 1- Nutritional Shake Mix - Kulfi- 500 Gms,WEIGHT MANAGEMENT PRODUCTS,(1),21.75,1996,1691,1438,1571,1401,1283,1147
082K,Formula 1- Nutritional Shake Mix - Banana Caramel  -500 Gms,WEIGHT MANAGEMENT PRODUCTS,(1),21.75,1996,1691,1438,1571,1401,1283,1147
154K,Formula 1- Nutritional Shake Mix - Rose Kheer  -500 Gms,WEIGHT MANAGEMENT PRODUCTS,(1),21.75,1996,1691,1438,1571,1401,1283,1147
1233,Personalized Protein Powder - 200 gms,WEIGHT MANAGEMENT PRODUCTS,(1),11.50,1185,1004,854,933,832,761,681
1569,Personalized Protein Powder - 400 gms,WEIGHT MANAGEMENT PRODUCTS,(1),22.50,2276,1928,1639,1792,1598,1463,1308
183K,ShakeMate -500 Gms,WEIGHT MANAGEMENT PRODUCTS,(1),6.45,598,506,249,524,494,474,450
108K,Protein Bites Chocolate,WEIGHT MANAGEMENT PRODUCTS,(1),4.85,590,497,288,502,468,444,417
127K,Woman's Choice,Women's Health,(1),12.45,1139,965,821,897,800,732,654
109K,vritilife Brain Health - 60 tablets,VRITILIFE BRAIN HEALTH,(1),15.10,1341,1136,966,1056,942,862,771
115K,vritilife Immune Health - 60 tablets,VRITILIFE IMMUNITY,(1),15.80,1400,1186,1009,1102,983,899,804
1291,Afresh Energy Drink Mix- Ginger - 50 gms ,ENERGY PRODUCTS ,(1),7.80,744,630,536,585,522,478,427
1294,Afresh Energy Drink Mix - Elaichi-50 gms,ENERGY PRODUCTS ,(1),7.80,744,630,536,585,522,478,427
1295,Afresh Energy Drink Mix - Lemon - 50 gms,ENERGY PRODUCTS ,(1),7.80,744,630,536,585,522,478,427
1296,Afresh Energy Drink Mix - Peach - 50 gms,ENERGY PRODUCTS ,(1),7.80,744,630,536,585,522,478,427
1238,Afresh Energy Drink Mix - Cinnamon  - 50 gms,ENERGY PRODUCTS ,(1),7.80,744,630,536,585,522,478,427
080K,Afresh Energy Drink Mix - Tulsi (Basil) - 50 gms,ENERGY PRODUCTS ,(1),7.80,744,630,514,592,531,489,440
unk,Afresh Energy Drink Mix - Kahwa - 50 gms,ENERGY PRODUCTS ,(1),7.80,744,630,514,592,531,489,440
1458,H24 Hydrate - 5gms * 20 Sachets,SPORTS NUTRITIONS,(1),14.05,1499,1270,924,1226,1117,1041,953
